 frase,clase
 Viento variable flojo predominio sur suroeste flojo litoral tarde,viento
 nubes altas,nubes
 Temperaturas cambios,temperatura
 Viento oeste flojo tendiendo variable,viento
 principio descartar precipitación quedando madrugada intervalos nubosidad baja probables brumas bancos niebla matinales nuboso resto tendiendo tarde despejado comunidad,nubes-precipitacion
 Temperaturas descenso resto mínimas ascenso máximas cambios descenso mínimas alcanzarán final día,temperatura
 Heladas débiles intensas cotas altas,temperatura
 Viento flojo oeste noroeste,viento
 nuboso intervalos nubes altas,nubes
 resto nuboso nubes bajas brumas bancos niebla matinales tendiendo nuboso intervalos nubes altas segunda mitad día,nubes
 Temperaturas mínimas cambios ligero ascenso máximas cambios descenso resto,temperatura
 Vientos flojos variables tendiendo final nordeste,viento
 cubierto lluvias débiles chubascos ocasionales probables sur,precipitacion
 Cota nieve metros,nieve
 Temperaturas aumento acusado mínimas,temperatura
 Viento suroeste flojo intervalos intensos horas centrales,viento
 cubierto lluvias chubascos mediodía disminuyendo nubosidad intervalos,precipitacion
 precipitaciones forma nieve entorno torno 1800 1200 metros disminuyendo cota 1300 metros,nieve
 Temperaturas aumento máximas cotas altas disminuirán mínimas final día,temperatura
 Heladas débiles dispersas norte,temperatura
 Viento suroeste flojo girando oeste tarde extremo sur intervalos fuerte zonas altas descarta racha fuerte,viento
 nubes bajas primera horas centro sur brumas bancos niebla matinales densas persistentes mañana valle tendiendo partir horas centrales día nuboso área nuboso intervalos nubes altas,nubes
 Temperaturas mínimas descenso sur cambios norte máximas aumento,temperatura
 Viento flojo variable,viento
 Viento flojo variable calma,viento
 cielos nubosos abriéndose claros tarde,nubes
 Precipitaciones generalizadas primera mitad día intensas tendiendo ocasionales tarde,precipitacion
 Cota nieve 1600 metros bajando tarde 1400 metros,nieve
 Brumas probables suroeste,humedad
 Temperaturas mantienen cambios ligeros descensos locales,temperatura
 Viento suroeste flojo arreciando horas centrales,viento
 lluvias chubascos tendiendo nuboso partir mediodía remitiendo precipitaciones,precipitacion
 Cota nieve torno 1100 metros partir mañana,nieve
 Probables nieblas zonas altas medias sierra,humedad
 Temperaturas mínimas ligero ascenso acusado centro comunidad máximas descenso cambios resto,temperatura
 mínimas alcanzarán final día,temperatura
 Viento componente oeste rachas fuertes puntos altos,viento
 intervalos nubosos tipo bajo primeras horas nuboso día tendencia irse abriendo claros zonas altas nubosidad escasa,nubes
 Probables brumas bancos niebla persistentes mañana gran parte comunidad,humedad
 Temperaturas cambios importantes ligero descenso máximas general embargo máximas suben,temperatura
 Heladas débiles cotas altas,temperatura
 Viento flojo variable,viento
 nuboso despejado intervalos nubes altas aumentando cubierto tarde lluvias débiles chubascos oeste intensos,nubes
 Temperaturas mínimas cambios máximas descenso cambios resto,temperatura
 Heladas débiles dispersas sureste,temperatura
 Viento flojo este nordeste rolando tarde suroeste,viento
 nuboso despejado nubes bajas bancos niebla matinales vegas,nubes
 Temperaturas cambios significativos máximas descenderán,temperatura
 Viento flojo variable predominando nordeste partir mediodía,viento
 cielo despejado intervalo nubes altas probables brumas bancos niebla estratos bajos matinales valles sureste extremo sur,nubes
 Temperaturas cambios predominando descensos,temperatura
 Vientos flojos variables,viento
 nuboso intervalo nubes altas probables brumas bancos niebla estratos bajos matinales valles,nubes
 Temperaturas ligero ascenso,temperatura
 Viento flojo variable,viento
 cubierto lluvias débiles chubascos madrugada probables intensas sureste probables brumas disminuyendo mañana nuboso intervalos tarde intervalos abundantes resto comunidad nubes altas,precipitacion
 Cota nieve torno 1400 metros,nieve
 Temperaturas mínimas cambios ascenso resto alcanzándose final día máximas ascenso área cambios resto,temperatura
 Heladas débiles área,temperatura
 Vientos flojos oeste suroeste,viento
 nubes bajas mañana tendiendo abrirse claros horas centrales quedando tarde cielos nuboso intervalos nubes altas,nubes
 Nieblas matinales persistentes,humedad
 Temperaturas ligero aumento cambios resto,temperatura
 Viento flojo variable,viento
 nuboso intervalos nubes altas mediodía descartar brumas bancos nieblas matinales sur sureste,nubes
 Temperaturas cambios descensos locales máximas,temperatura
 descarta helada débil aislada,temperatura
 Vientos flojos variables predominando componente norte mañana,viento
 nuboso cubierto tendiendo nuboso mañana,nubes
 chubascos primera mitad día cotas nieve 1600 metros disminuyendo madrugada 1400 metros,nieve
 Probables brumas bancos niebla matinales,humedad
 Temperaturas mínimas ligero descenso máximas cambios significativos,temperatura
 Heladas débiles,temperatura
 Viento flojo suroeste,viento
 nubes medias altas mañana nuboso despejado resto día formación nocturna vegas estratos bajos bancos niebla disiparán mañana,nubes
 Temperaturas cambios,temperatura
 Heladas débiles zonas bajas,temperatura
 Viento flojo variable calma,viento
 nuboso despejado intervalos nubes altas nubes bajas brumas bancos niebla matinales sur sureste,nubes
 Temperaturas mínimas descenso,temperatura
 Temperaturas máximas aumento,temperatura
 Vientos flojos variables,viento
 nuboso nubes altas aumentando nuboso cubierto partir mediodía probabilidad baja lluvias débiles sierra final día,nubes
 Temperaturas ascenso notable máximas resto mínimas ligero descenso máximas cambios,temperatura
 Heladas débiles mitad oriental,temperatura
 Vientos flojos dirección variable tendiendo suroeste,viento
 principio precipitaciones débiles extremo tendiendo mañana intervalos nubosos tarde nuboso despejado,precipitacion
 Lluvias débiles chubascos ocasionales madrugada,precipitacion
 Cota nieve torno 1400 metros descendiendo 1200 metros,nieve
 Temperaturas descenso mínimas darán final día,temperatura
 Heladas débiles zonas montaña,temperatura
 Viento suroeste flojo arreciando mañana viento noroeste probables rachas fuertes,viento
 nuboso despejado intervalos nubes bajas principio zonas altas,nubes
 descartan brumas matinales vegas sur,humedad
 Heladas débiles intensas zonas altas,temperatura
 Temperaturas mínimas cambios ascenso resto máximas cambios significativos,temperatura
 Viento flojo nordeste,viento
 probables estratos bajos brumas bancos niebla matinales valles extremo sur intervalos nubes altas partir tarde,nubes
 Temperaturas cambios descenso resto,temperatura
 Heladas débiles mitad valles sur,temperatura
 Vientos flojos variables,viento
 nuboso intervalos nubes altas,nubes
 descartan brumas bancos niebla matinales valles sur comunidad,humedad
 Temperaturas ascenso resto ligero descenso mínimas cambios máximas,temperatura
 Viento flojo variable tendiendo tarde nordeste,viento
 cubierto tendiendo tarde intervalos nubosos,nubes
 Probables precipitaciones débiles principio,precipitacion
 Cota nieve metros,nieve
 bancos niebla matinales probables,humedad
 Temperaturas cambios importantes,temperatura
 Heladas débiles cotas altas,temperatura
 Viento flojo predominio componente oeste tendiendo variable,viento
 nuboso principio intervalos nubes bajas probables bancos niebla brumas matinales sudeste aumentando cubierto,nubes
 descartan lluvias débiles final,precipitacion
 Temperaturas mínimas ligero descenso ligero ascenso resto máximas descenso,temperatura
 Viento flojo variable tendiendo tarde suroeste,viento
 cubierto tendiendo nuboso tarde,nubes
 Probables chubascos dispersos cesando tarde,precipitacion
 Cota nieve torno 1400 metros,nieve
 Brumas,humedad
 Temperaturas mínimas ligero moderado descenso máximas cambios,temperatura
 Viento suroeste flojo intervalos intensos,viento
 nuboso despejado intervalos nubes altas,nubes
 Temperaturas mínimas aumento suroeste mantendrán cambios,temperatura
 Temperaturas máximas cambios significativos aumentarán,temperatura
 Viento flojo variable predominando componente norte,viento
 principio nuboso intervalos nubosos tipo bajo sureste probables brumas matinales banco niebla tendiendo tarde cubrirse cielos nubes altas,nubes
 Temperaturas descenso,temperatura
 Heladas débiles generalizadas,temperatura
 Viento flojo dirección variable,viento
 nuboso descartar lluvias débiles final día,nubes
 resto intervalos nubosos predominando cielos nubosos horas centrales,nubes
 descartan brumas bancos niebla matinales,humedad
 Temperaturas ligero descenso heladas débiles cotas altas,temperatura
 Viento flojo variable tendiendo suroeste,viento
 nubes altas esperan nubes bajas principio final día cotas altas irán acompañadas brumas bancos niebla centro sur,nubes
 Temperaturas mínimas aumento máximas suben zonas altas mantienen cambios ligero descenso zonas afectadas nieblas,temperatura
 Vientos flojos variables,viento
 nuboso despejado intervalos nubes medias altas frecuentes tarde,nubes
 descarta bruma banco niebla valle tributarios,humedad
 Temperaturas mínimas descenso acusado,temperatura
 Temperaturas máximas aumento cambios resto,temperatura
 Heladas débiles amplias zonas centro norte provincia acusadas zonas altas,temperatura
 Vientos flojos variables tendiendo suroeste,viento
 nubes altas,nubes
 descartan brumas banco niebla matinal valles sur comunidad,humedad
 Temperaturas mínimas descenso máximas cambios salvo ascenderán,temperatura
 Viento flojo variable,viento
 tendiendo intervalos nubosos nuboso final persistente nubosidad sierra probables nieblas,nubes
 Temperaturas mínimas descenso máximas descenso cambios resto,temperatura
 Heladas débiles zonas altas,temperatura
 Viento oeste noroeste rachas fuertes madrugada,viento
 cielos nubosos despejados,nubes
 Temperaturas cambios,temperatura
 Viento nordeste flojo moderado intenso punta noroeste costa sureste brisas costas norte oeste,viento
 general intervalos nubosos primeras horas norte,nubes
 Temperaturas máximas ascenso mínimas cambios,temperatura
 Viento flojo intenso medianías zonas altas,viento
 nuboso aumentando intervalos nubosos tarde nordeste suroeste,nubes
 Baja probabilidad lluvias débiles tarde nordeste suroeste,precipitacion
 Temperaturas ascenso,temperatura
 Viento flojo componente oeste girando componente norte tarde,viento
 cumbres centrales viento noroeste moderado disminuyendo segunda mitad día,viento
 nuboso despejado intervalos nubosos nordeste madrugada,nubes
 Baja probabilidad calima ligera,humedad
 Temperaturas cambios ligero ascenso costas,temperatura
 Viento nordeste costas componente medianías zonas altas,viento
 costa oeste,viento
 nubes medias altas tendiendo nuboso tarde,nubes
 Temperaturas cambios,temperatura
 Viento sudeste moderado fuerte intenso probables rachas fuerte cumbres vertientes nordeste incluida área metropolitana vertientes suroeste llegar costas nordeste,viento
 Predominio brisas costa noroeste,viento
 nubosos,nubes
 descarta lluvia débil ocasional norte primera mitad día segunda mitad probables lluvias débiles norte débiles moderadas zonas interior sur,precipitacion
 Temperaturas mínimas cambios máximas ligero ascenso,temperatura
 Viento componente oeste flojo,viento
 viento noroeste disminuyendo girando componente oeste final,viento
 norte nordeste intervalos nubosos predominando claros tarde,nubes
 cumbres metros resto vertientes nuboso despejado,nubes
 Temperaturas cambios,temperatura
 Viento nordeste intervalos fuerte vertientes noroeste sureste predominio brisas costas norte oeste,viento
 nubosos norte metros predominando cielos nubosos tarde,nubes
 Despejado general resto zonas,nubes
 nubosidad alta última hora día,nubes
 Temperaturas mínimas cambios ligero ascenso máximas cambios,temperatura
 Viento nordeste flojo moderado girando componente medianías zonas altas intenso extremos sudeste noroeste,viento
 viento variable flojo,viento
 Predominio brisas costa suroeste,viento
 nuboso general intervalos nubes altas,nubes
 norte intervalos nubosos primera mitad día últimas horas,nubes
 Temperaturas cambios ligero ascenso,temperatura
 Viento nordeste flojo moderado brisas zonas costa,viento
 medianías predominará componente,viento
 nubosos nordeste apertura claros horas centrales día,nubes
 nuboso despejado resto,nubes
 Temperaturas cambios,temperatura
 Viento nordeste intenso extremo sudeste predominio brisas costa suroeste,viento
 Viento componente medianías variable flojo,viento
 nuboso despejado intervalos nubes altas,nubes
 cambios,otros
 Viento este litoral brisas costas oeste,viento
 medianías zonas altas moderado fuerte,viento
 descartan rachas fuertes inicio medianías comprendidas dar nivel costas,viento
 nuboso despejado intervalos nubes altas,nubes
 Temperaturas mínimas cambios máximas ligero descenso,temperatura
 Viento este sureste flojo moderado intensificándose tarde,viento
 últimas horas descartan rachas fuertes medianías nordeste llegar nivel costa,viento
 Predominio brisas costa,viento
 nubosos despejados intervalos nubes altas primera mitad día,nubes
 Temperaturas cambios ligero descenso área metropolitana zona,temperatura
 Viento nordeste flojo moderado intenso horas centrales vertiente sudeste punta noroeste,viento
 costa oeste,otros
 nuboso despejado intervalos altas madrugada final día,nubes
 Posibilidad calima final día,humedad
 Temperaturas ligero ascenso acusado norte suroeste,temperatura
 Viento nordeste flojo moderado girando sureste mañana intensificándose intervalos fuerte vertientes nordeste incluida área metropolitana suroeste,viento
 brisas costas norte,viento
 nuboso despejado intervalos nubes altas,nubes
 Temperaturas cambios,temperatura
 Viento componente flojo moderado,viento
 cumbres centrales viento flojo suroeste girando noroeste final,viento
 costas norte oeste,otros
 Nuboso tendiendo intervalos nubosos partir mediodía,nubes
 descarta primeras horas fuertes ir acompañados tormenta aislada granizo vertientes norte,precipitacion
 Baja probabilidad forma nieve metros madrugada,nieve
 precipitaciones probables ocasionales concentradas vertientes norte partir mediodía,precipitacion
 Temperaturas cambios ligero descenso,temperatura
 Viento norte flojo moderado,viento
 cumbres centrales componente oeste flojo madrugada tendiendo viento componente norte intervalos fuerte,viento
 nuboso despejado general intervalos nubes bajas nordeste última hora tarde,nubes
 cambios ligero descenso máximas nordeste,viento
 Viento nordeste flojo moderado intenso vertiente sudeste extremo noroeste medianías nordeste excluyendo área metropolitana primeras horas mañana,viento
 medianías viento este nordeste,viento
 cumbres viento flojo variable,viento
 brisas costa suroeste,viento
 nubes bajas nordeste tendiendo nuboso partir mediodía,nubes
 resto nuboso despejado intervalo nubes medias altas tarde,nubes
 cambios ligeros descensos mínimas ligeros ascensos máximas,precipitacion
 Viento flojo moderado nordeste tendiendo componente costas sureste medianías zonas altas,viento
 costas suroeste,otros
 norte nordeste intervalos nubosos amplios claros horas centrales,nubes
 cumbres resto vertientes nuboso despejado,nubes
 Temperaturas cambios ligero ascenso,temperatura
 Viento nordeste intervalos fuerte inicio extremos noroeste sudeste,viento
 Predominio brisas costas norte oeste,viento
 nubosos aumentando mañana nuboso,nubes
 lluvias débiles nordeste suroeste,precipitacion
 cambios ligero descenso,precipitacion
 Viento nordeste flojo moderado intenso tarde sureste,viento
 costas norte suroeste,otros
 nubosos norte noreste predominio cielos nubosos horas centrales día,nubes
 resto nuboso despejado,nubes
 Temperaturas cambios ligero descenso,temperatura
 Viento nordeste intenso extremo sureste,viento
 Predominio brisas costas orientadas suroeste,viento
 viento nordeste disminuyendo final día,ie
 nuboso intervalos nubes altas tendiendo final día intervalos nubes bajas nordeste,ubes
 Probabilidad ligera calima primera mitad día,humedad
 Temperaturas cambios ligero ascenso máximas,viento
 Viento moderado intervalos fuerte medianías nordeste descarta rachas fuertes madrugada primeras horas mañana llegar nivel costa,viento
 viento girará nordeste costas tarde,viento
 cumbres sur flojo moderado girando,viento
 nuboso general intervalos madrugada norte tarde interior vertientes orientadas suroeste,nubes
 Temperaturas máximas ligero ascenso mínimas cambios,temperatura
 Viento flojo este nordeste intenso medianías brisas zonas costa,viento
 viento flojo sudeste,viento
 nubosos despejados general intervalos nubosos zonas bajas norte final día,nubes
 cambios,otros
 Viento nordeste flojo moderado girando componente medianías zonas altas intenso tarde extremos sudeste noroeste,viento
 viento variable flojo,viento
 Predominio brisas costa suroeste,viento
 norte nordeste nuboso tendiendo intervalos nubosos tarde,nubes
 resto zonas nuboso despejado suroeste crecerá nubosidad evolución tarde,nubes
 descarta lluvia débil ocasional medianías nordeste primera mitad día,precipitacion
 Temperaturas cambios ligero descenso,temperatura
 Viento nordeste intenso extremos sureste noroeste,viento
 costas norte suroeste,otros
 cubierto precipitaciones partir mañana probabilidad fuertes descartar acompañadas tormenta aislada,precipitacion
 vertiente norte área metropolitana persistentes horas centrales día tarde,viento
 vertiente sur carácter ocasional,viento
 Temperaturas mínimas ligero moderado ascenso máximas cambios,temperatura
 Viento suroeste flojo moderado girará norte final,viento
 nuboso despejado intervalo nubes altas madrugada,nubes
 Probable calima,humedad
 Temperaturas mínimas ligero descenso máximas cambios,temperatura
 Viento sudeste intenso sur medianías mediodía,viento
  Temperaturas mínimas cambios máximas descenso,temperatura
 Heladas débiles sierra,temperatura
 Viento oeste noroeste rachas fuertes,viento
 descartar precipitaciones débiles ocasionales principio tendiendo intervalos nubosos,precipitacion
 Cota nieve metros,nieve
 Probables brumas nieblas matinales,humedad
 Temperaturas cambios ligero descenso,temperatura
 Heladas débiles sierra,temperatura
 Vientos norte noroeste,viento
 nuboso intervalos nubes bajas descartar brumas nieblas matinales,nubes
 Aumento nubosidad tarde cielos nubosos cuibertos probables precipitaciones débiles final sierra forma nieve partir metros,nubes
 Temperaturas cambios experimentar mínimas ligero descenso máximas ligero ascenso,temperatura
 Heladas débiles,temperatura
 Vientos oeste noroeste flojos general,temperatura
 nubes altas probabilidad brumas bancos niebla matinales,nubes
 Temperaturas mínimas cambios máximas cambios valle ligero ascenso,temperatura
 Heladas débiles sierra,temperatura
 Vientos flojos sur suroeste variables calma valle,viento
 cubierto probables precipitaciones débiles principio sierra tendiendo nuboso valle,precipitacion
 Cota nieve 1400 metros subiendo cotas altas,nieve
 Probables brumas bancos niebla matinales,humedad
 Temperaturas ascenso ligero,temperatura
 Heladas débiles cumbres,temperatura
 Vientos suroeste variables flojos,viento
 nuboso intervalos nubes bajas ocasionar brumas nieblas matinales aumentando nubosidad tarde,nubes
 Temperaturas mínimas ascenso descenso máximas descenso,temperatura
 Heladas débiles sierra,temperatura
 flojos oeste noroeste mañana aumentando final fijándose suroeste soplará sureste,viento
 cubierto probables precipitaciones débiles descartarlas remitiendo tendiendo intervalos nubosos nuboso,precipitacion
 Cota nieve 1400 metros,nieve
 Temperaturas mínimas descenso máximas ascenso notable,temperatura
 Heladas débiles sierra,temperatura
 suroeste sur flojos variables fijándose sureste,viento
 nuboso nubes altas,nubes
 nieblas valle,humedad
 Temperaturas mínimas ligero ascenso cambios máximas descenso ribera cambios ascenso ligero resto,temperatura
 Vientos sureste variables flojos,viento
 cielos nuboso,nubes
 descartan brumas bancos niebla,humedad
 Temperaturas descenso,temperatura
 Heladas débiles probables valle,temperatura
 Vientos noroeste variables flojos,viento
 nubosos predominando nubosidad media alta tendiendo nuboso cubierto probables precipitaciones débiles últimas horas,nubes
 Cota nieve 1600 m. cambios ligero descenso,nieve
 Heladas débiles,temperatura
 Vientos suroeste sierra sureste valle,viento
 nuboso interalos nubosos oeste sur,nubes
 descartan brumas bancos niebla matinales,humedad
 Temperaturas ascenso ligero general,temperatura
 Vientos suroeste sierra flojos variables valle,viento
 nuboso aumentando últimas horas intervalos nubosos nubes bajas,nubes
 Temperaturas mínimas cambios ligero ascenso máximas ligero descenso,temperatura
 Heladas débiles generalizadas,temperatura
 Vientos noroeste norte,viento
 nuboso aumentando nuboso predominando tipo medio alto,nubes
 descartan brumas nieblas matinales,humedad
 Temperaturas mínimas cambios ligero descenso máximas ascenso,temperatura
 Heladas sierra débiles general,temperatura
 Vientos suroeste flojos variables,viento
 nubes medias altas nuboso madugada,nubes
 descartan brumas bancos niebla matinales,humedad
 Temperaturas mínimas descenso máximas ascenso,temperatura
 Vientos oeste suroeste flojos,viento
 tendiendo intervalos nubosos final probabilidad precipitaciones débiles dispersas alta descartar ocasional resto,nubes
 Cota nieve 1000 1200 metros,nieve
 Temperaturas mínimas ligero descenso máximas ligero ascenso,temperatura
 Heladas débiles,temperatura
 Vientos noroeste,viento
 valle nuboso nubes bajas nieblas brumas persistentes,nubes
 nuboso intervalos nubes altas,nubes
 Temperaturas mínimas cambios ligero descenso máximas descenso,temperatura
 Vientos flojos sur sureste,viento
 bajas nieblas principio tendiendo mañana nuboso intrevalos nubes altas,nubes
 Temperaturas mínimas ascenso máximas descenso,temperatura
 Heladas débiles,temperatura
 noroeste flojos intensos,viento
 nubosos descartar precipitaciones débiles dispersas,nubes
 descartan brumas bancos niebla,humedad
 Temperaturas mínimas ligero descenso máximas cambios,temperatura
 Heladas débiles sierra,temperatura
 Vientos sur sureste valle,viento
 nubes altas aumentando nubosidad media tarde tendiendo nuboso final,nubes
 descartar brumas nieblas matinales valle,humedad
 Temperaturas mínimas cambios máximas ascenso,temperatura
 Heladas débiles sierra,temperatura
 Vientos flojos variables,viento
 nubes altas,nubes
 Probabilidad brumas nieblas nubes bajas valle,nubes
 Temperaturas mínimas cambios ligero descenso máximas descenso valle ascenso,temperatura
 Vientos flojos componente oeste girando tarde valle componente,viento
 nuboso intervalos nubes altas,nubes
 probables brumas nieblas nubes bajas matinales,nubes
 Temperaturas mínimas descenso cambios resto máximas ascenso,temperatura
 Heladas generalizadas,temperatura
 Vientos norte noroeste,viento
 nuboso mañana probables brumas nieblas nubes bajas tendiendo segunda mitad día nuboso cubierto precipitaciones débiles noche descartarlas resto,precipitacion
 Cota nieve metros bajando 1200,nieve
 Temperaturas ascenso ligero sierra ligero descenso cambios resto,temperatura
 Heladas débiles probables valle,temperatura
 Vientos suroeste sureste resto flojos principio aumentando tarde intervalos fuerte sierra,viento
 nuboso intervalos nubes altas descartar nubes bajas dar brumas bancos niebla matinales,nubes
 Temperaturas cambios máximas ligero ascenso,temperatura
 Vientos flojos sur variables resto,viento
 tarde viento flojo variable,viento
 viento sur suroeste moderado fuerte debilitándose largo día,viento
 brisas costas norte noroeste,viento
 nuboso despejado,nubes
 Baja probabilidad calima ligera primera mitad día,humedad
 Temperaturas cambios ligero descenso,temperatura
 Viento componente costas sureste medianías zonas altas moderado disminuyendo flojo final,viento
 costa oeste,otros
 nubosos madrugada descartándose chubasco aislado sureste madrugada tendiendo nuboso precipitaciones,nubes
 Temperaturas ascenso,temperatura
 Viento general flojo componente norte madrugada girando componente oeste mañana predominando brisas costas,viento
 cumbres centrales viento noroeste intervalos fuerte,viento
 nuboso despejado general intervalos nubosos mañana norte noreste,nubes
 Temperaturas cambios,temperatura
 Viento nordeste flojo moderado intenso extremo sudeste mañana girando componente flojo tarde,viento
 nubes altas predominio cielos despejados primera mitad día,nubes
 Probabilidad calima,humedad
 Temperaturas cambios ligeros ascensos mínimas ligeros descensos máximas,temperatura
 Viento este sureste moderado intervalos fuerte vertientes nordeste área metropolitana suroeste,viento
 costa noroeste,otros
 nubosos norte predominando cielos nubosos horas centrales,nubes
 resto nuboso despejado,nubes
 Baja probabilidad lloviznas nordeste primeras últimas horas,precipitacion
 Temperaturas cambios ligero descenso,temperatura
 Viento nordeste flojo moderado intenso costa sudeste segunda mitad día,viento
 viento flojo componente norte girando final,viento
 costa suroeste,otros
 nubosos aumentando mañana nuboso abriéndose claros últimas horas,nubes
 Baja probabilidad lluvias débiles dispersas interior horas centrales,precipitacion
 Temperaturas cambios,temperatura
 Viento nordeste flojo intervalos moderado segunda mitad día norte sudeste,viento
 viento flojo noroeste cambiando sudeste final día,viento
 costas suroeste,otros
 norte nordeste intervalos nubosos tenderán cielos nubosos partir mediodía,nubes
 resto zonas nuboso despejado,nubes
 Baja probabilidad lluvias débiles ocasionales madrugada nordeste probables medianías,precipitacion
 Temperaturas cambios,temperatura
 Viento nordeste flojo moderado intervalos fuerte extremos noroeste sureste,viento
 Predominio brisas costas norte oeste,viento
 nuboso despejado general intervalos nubes altas horas centrales día,nubes
 Temperaturas cambios,temperatura
 Viento componente flojo moderado,viento
 viento componente sur flojo moderado,viento
 Predominio brisas zonas costa,viento
 nubes bajas nordeste,nubes
 resto nuboso despejado,nubes
 mínimas cambios ligero descenso máximas ligero descenso,temperatura
 flojo moderado nordeste costas este sudeste medianías zonas altas,viento
 brisas vertiente oeste isla,viento
 cubierto apertura claro sur tarde,otros
 Precipitaciones inicio ocasionales,precipitacion
 partir mañana probables frecuentes existe probabilidad fuertes especial vertientes norte persistentes,viento
